0, 0
10, 0
20, 0
30, 0
40, 0
50, 0
60, 0
70, 0
80, 0
90, 0
100, 0
110, 0
120, 0
130, 0
140, 0
150, 0
160, 0
170, 0
180, 0
190, 0
200, 0
210, 0
220, 0
230, 0
0, 2
10, 2
20, 2
30, 2
40, 2
50, 2
60, 2
70, 2
80, 2
90, 2
100, 2
110, 2
120, 2
130, 2
140, 2
150, 2
160, 2
170, 2
180, 2
190, 2
200, 2
210, 2
220, 2
230, 2
0, 4
10, 4
20, 4
30, 4
40, 4
50, 4
60, 4
70, 4
80, 4
90, 4
100, 4
110, 4
120, 4
130, 4
140, 4
150, 4
160, 4
170, 4
180, 4
190, 4
200, 4
210, 4
220, 4
230, 4
0, 8
10, 8
20, 8
30, 8
40, 8
50, 8
60, 8
70, 8
80, 8
90, 8
100, 8
110, 8
120, 8
130, 8
140, 8
150, 8
160, 8
170, 8
180, 8
190, 8
200, 8
210, 8
220, 8
230, 8
0, 12
10, 12
20, 12
30, 12
40, 12
50, 12
60, 12
70, 12
80, 12
90, 12
100, 12
110, 12
120, 12
130, 12
140, 12
150, 12
160, 12
170, 12
180, 12
190, 12
200, 12
210, 12
220, 12
230, 12
0, 16
10, 16
20, 16
30, 16
40, 16
50, 16
60, 16
70, 16
80, 16
90, 16
100, 16
110, 16
120, 16
130, 16
140, 16
150, 16
160, 16
170, 16
180, 16
190, 16
200, 16
210, 16
220, 16
230, 16
0, 20
10, 20
20, 20
30, 20
40, 20
50, 20
60, 20
70, 20
80, 20
90, 20
100, 20
110, 20
120, 20
130, 20
140, 20
150, 20
160, 20
170, 20
180, 20
190, 20
200, 20
210, 20
220, 20
230, 20
0, 24
10, 24
20, 24
30, 24
40, 24
50, 24
60, 24
70, 24
80, 24
90, 24
100, 24
110, 24
120, 24
130, 24
140, 24
150, 24
160, 24
170, 24
180, 24
190, 24
200, 24
210, 24
220, 24
230, 24
0, 28
10, 28
20, 28
30, 28
40, 28
50, 28
60, 28
70, 28
80, 28
90, 28
100, 28
110, 28
120, 28
130, 28
140, 28
150, 28
160, 28
170, 28
180, 28
190, 28
200, 28
210, 28
220, 28
230, 28
0, 32
10, 32
20, 32
30, 32
40, 32
50, 32
60, 32
70, 32
80, 32
90, 32
100, 32
110, 32
120, 32
130, 32
140, 32
150, 32
160, 32
170, 32
180, 32
190, 32
200, 32
210, 32
220, 32
230, 32
0, 36
10, 36
20, 36
30, 36
40, 36
50, 36
60, 36
70, 36
80, 36
90, 36
100, 36
110, 36
120, 36
130, 36
140, 36
150, 36
160, 36
170, 36
180, 36
190, 36
200, 36
210, 36
220, 36
230, 36
0, 40
10, 40
20, 40
30, 40
40, 40
50, 40
60, 40
70, 40
80, 40
90, 40
100, 40
110, 40
120, 40
130, 40
140, 40
150, 40
160, 40
170, 40
180, 40
190, 40
200, 40
210, 40
220, 40
230, 40
0, 44
10, 44
20, 44
30, 44
40, 44
50, 44
60, 44
70, 44
80, 44
90, 44
100, 44
110, 44
120, 44
130, 44
140, 44
150, 44
160, 44
170, 44
180, 44
190, 44
200, 44
210, 44
220, 44
230, 44
0, 48
10, 48
20, 48
30, 48
40, 48
50, 48
60, 48
70, 48
80, 48
90, 48
100, 48
110, 48
120, 48
130, 48
140, 48
150, 48
160, 48
170, 48
180, 48
190, 48
200, 48
210, 48
220, 48
230, 48
0, 52
10, 52
20, 52
30, 52
40, 52
50, 52
60, 52
70, 52
80, 52
90, 52
100, 52
110, 52
120, 52
130, 52
140, 52
